#Task Selector: 5
#PID Parameters: kp: 0.03, kd: 0.04, ki: 0.01
#n_pos: 10
#n_vel: 10
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
0.02 0.00 0.00 0.00 0.00 22.13 -7.64 2.21 -0.76 138.31 -47.78 13.83 -4.78
0.03 0.00 0.00 0.00 0.00 22.12 -6.54 4.42 -1.42 125.70 -37.17 26.40 -8.49
0.05 0.00 0.00 0.00 0.00 22.13 -7.64 6.64 -2.18 138.06 -47.69 40.21 -13.26
0.07 0.00 0.00 0.00 0.00 22.12 -6.54 8.85 -2.84 135.94 -40.20 53.80 -17.28
0.08 0.00 0.00 0.00 0.00 26.57 -7.69 11.51 -3.61 163.98 -47.48 70.20 -22.03
0.10 0.00 0.00 0.00 0.00 28.80 -7.72 14.39 -4.38 166.94 -44.76 86.89 -26.51
0.12 0.00 0.00 0.00 0.00 26.56 -6.59 17.04 -5.04 169.32 -41.99 103.83 -30.71
0.13 0.00 0.00 0.00 0.00 31.03 -6.64 20.15 -5.70 187.63 -40.17 122.59 -34.72
0.15 0.00 0.00 0.00 0.00 31.03 -6.64 23.25 -6.37 195.66 -41.89 142.16 -38.91
0.16 0.00 0.00 0.00 0.00 31.03 -6.64 26.35 -7.03 190.01 -40.67 161.16 -42.98
0.18 0.00 0.00 0.00 0.00 31.03 -6.64 27.24 -6.93 55.32 6.23 152.86 -37.58
0.20 0.00 0.00 0.00 0.00 31.04 -7.75 28.13 -7.05 54.71 -7.43 145.76 -34.61
0.21 0.00 0.00 0.00 0.00 31.01 -5.53 29.02 -6.84 54.91 13.05 137.44 -28.53
0.23 0.00 0.00 0.00 0.00 30.99 -3.32 29.91 -6.52 53.53 19.43 129.20 -22.57
0.25 0.00 0.00 0.00 0.00 30.99 -3.32 30.35 -6.08 26.97 26.69 115.50 -15.15
0.26 0.00 0.00 0.00 0.00 31.03 -6.64 30.57 -5.97 13.93 6.75 100.20 -10.00
0.28 0.00 0.00 0.00 0.00 30.99 -3.32 31.02 -5.65 27.21 20.05 85.99 -3.80
0.29 0.00 0.00 0.00 0.00 30.98 -2.22 31.01 -5.20 -0.33 27.53 67.19 2.97
0.31 0.00 0.00 0.00 0.00 27.66 -5.49 30.67 -5.09 -20.74 7.07 45.55 7.87
0.33 0.00 0.00 0.00 0.00 26.52 -3.28 30.22 -4.75 -27.71 20.70 23.78 14.01
0.34 0.00 0.00 0.00 0.00 26.51 -2.17 29.77 -4.31 -27.45 27.15 15.50 16.10
0.36 0.00 0.00 0.00 0.00 22.08 -1.04 28.87 -3.63 -54.62 40.87 4.57 20.93
0.38 0.00 0.00 0.00 0.00 22.07 0.05 27.98 -3.08 -55.83 34.87 -6.51 23.11
0.39 0.00 0.00 0.00 0.00 22.08 -1.04 27.09 -2.85 -55.87 14.28 -17.45 22.60
0.41 0.00 0.00 0.00 0.00 22.08 -2.14 26.20 -2.73 -54.84 7.28 -25.63 20.65
0.42 0.00 0.00 0.00 0.00 19.87 0.07 25.08 -2.06 -68.01 40.87 -33.82 24.07
0.44 0.00 0.00 0.00 0.00 17.67 1.17 23.75 -1.61 -83.35 28.10 -44.88 24.87
0.46 0.00 0.00 0.00 0.00 17.67 0.08 22.42 -1.38 -79.55 13.71 -52.80 23.49
0.47 0.00 0.00 0.00 0.00 15.48 2.27 21.20 -0.60 -75.94 48.39 -58.32 27.62
0.49 0.00 0.00 0.00 0.00 13.29 2.27 19.88 -0.05 -79.92 33.53 -63.54 28.90
0.51 0.00 0.00 0.00 0.00 13.29 2.27 18.56 0.40 -79.73 26.84 -68.77 28.87
0.52 0.00 0.00 0.00 0.00 13.29 2.27 17.68 0.73 -55.40 20.93 -68.84 26.88
0.54 0.00 0.00 0.00 0.00 12.20 3.37 16.69 1.06 -60.62 20.35 -69.32 25.43
0.55 0.00 0.00 0.00 0.00 8.94 2.28 15.38 1.39 -81.37 20.61 -71.87 26.06
0.57 0.00 0.00 0.00 0.00 8.94 3.37 14.07 1.94 -79.31 33.26 -74.32 28.66
0.59 0.00 0.00 0.00 0.00 6.77 2.29 12.76 2.16 -80.73 13.69 -75.59 25.94
0.60 0.00 0.00 0.00 0.00 6.77 2.29 11.67 2.28 -68.87 7.07 -74.14 23.84
0.62 0.00 0.00 0.00 0.00 4.60 3.38 10.36 2.61 -80.20 20.24 -74.21 24.49
0.64 0.00 0.00 0.00 0.00 4.60 2.29 9.27 2.61 -66.34 0.13 -73.25 19.66
0.65 0.00 0.00 0.00 0.00 4.60 2.29 8.40 2.61 -53.92 0.09 -70.65 16.32
0.67 0.00 0.00 0.00 0.00 2.43 3.38 7.31 2.72 -65.89 6.69 -69.27 14.30
0.68 0.00 0.00 0.00 0.00 2.43 2.29 6.23 2.72 -65.96 0.09 -70.32 12.22
0.70 0.00 0.00 0.00 0.00 0.26 1.20 5.03 2.51 -73.80 -13.37 -71.64 8.85
0.72 0.00 0.00 0.00 0.00 0.26 1.20 4.16 2.40 -53.88 -6.72 -68.89 6.12
0.73 0.00 0.00 0.00 0.00 0.26 2.29 3.30 2.29 -53.21 -6.63 -66.28 2.13
0.75 0.00 0.00 0.00 0.00 0.26 1.20 2.64 2.18 -43.28 -7.22 -62.54 0.04
0.76 0.00 0.00 0.00 0.00 -1.91 2.29 1.78 2.18 -53.01 0.01 -60.95 -0.67
0.78 0.00 0.00 0.00 0.00 -1.91 1.20 1.12 1.96 -38.98 -13.03 -56.83 -4.00
0.80 0.00 0.00 0.00 0.00 -1.92 0.11 0.47 1.74 -40.87 -13.67 -54.28 -5.38
0.81 0.00 0.00 0.00 0.00 -1.91 1.20 -0.18 1.64 -41.05 -6.87 -52.99 -6.07
0.83 0.00 0.00 0.00 0.00 -1.91 1.20 -0.61 1.42 -25.46 -12.77 -48.95 -8.02
0.85 0.00 0.00 0.00 0.00 -4.09 -0.98 -1.26 1.09 -41.07 -20.62 -46.46 -10.09
0.86 0.00 0.00 0.00 0.00 -1.92 0.11 -1.48 0.98 -13.35 -6.70 -40.42 -9.42
0.88 0.00 0.00 0.00 0.00 -4.09 -0.98 -1.92 0.76 -26.67 -13.40 -37.70 -10.09
0.89 0.00 0.00 0.00 0.00 -1.92 -0.98 -2.13 0.44 -13.41 -20.16 -33.72 -11.44
0.91 0.00 0.00 0.00 0.00 -4.09 -2.07 -2.57 0.11 -26.95 -20.30 -32.08 -12.75
0.93 0.00 0.00 0.00 0.00 -4.09 -2.07 -2.79 -0.33 -13.44 -26.90 -28.13 -15.44
0.94 0.00 0.00 0.00 0.00 -4.10 -3.17 -3.00 -0.76 -13.33 -26.70 -25.56 -16.81
0.96 0.00 0.00 0.00 0.00 -4.10 -3.17 -3.22 -1.09 -13.84 -20.81 -22.86 -17.52
0.98 0.00 0.00 0.00 0.00 -4.10 -3.17 -3.44 -1.53 -13.38 -26.79 -20.09 -19.52
0.99 0.00 0.00 0.00 0.00 -1.92 -4.26 -3.44 -2.07 -0.04 -33.12 -17.55 -21.55
1.01 0.00 0.00 0.00 0.00 -1.92 -4.26 -3.22 -2.40 13.34 -20.13 -12.11 -21.50
1.02 0.00 0.00 0.00 0.00 -1.92 -4.26 -3.22 -2.84 -0.04 -26.82 -10.78 -23.51
1.04 0.00 0.00 0.00 0.00 -1.92 -4.26 -3.01 -3.17 13.12 -19.80 -6.80 -24.15
1.06 0.00 0.00 0.00 0.00 -1.92 -4.26 -3.01 -3.49 -0.03 -20.83 -5.46 -24.22
1.07 0.00 0.00 0.00 0.00 -1.92 -4.26 -2.79 -3.71 13.28 -13.35 -1.44 -23.53
1.09 0.00 0.00 0.00 0.00 -1.92 -4.26 -2.57 -3.93 12.81 -12.87 1.19 -22.12
1.11 0.00 0.00 0.00 0.00 -1.92 -5.35 -2.36 -4.15 13.75 -13.83 3.90 -20.84
1.12 0.00 0.00 0.00 0.00 -1.92 -5.35 -2.14 -4.37 13.34 -13.42 6.61 -20.10
1.14 0.00 0.00 0.00 0.00 -1.92 -5.35 -1.92 -4.59 13.29 -13.37 9.28 -18.75
1.16 0.00 0.00 0.00 0.00 -1.92 -5.35 -1.92 -4.70 -0.01 -6.78 9.28 -16.12
1.17 0.00 0.00 0.00 0.00 0.25 -5.35 -1.70 -4.80 12.87 -6.47 9.24 -14.75
1.19 0.00 0.00 0.00 0.00 0.25 -5.35 -1.49 -4.91 14.11 -7.09 10.65 -12.78
1.20 0.00 0.00 0.00 0.00 0.25 -5.35 -1.27 -5.02 13.39 -6.73 10.68 -11.47
1.22 0.00 0.00 0.00 0.00 0.25 -5.35 -1.05 -5.13 13.15 -6.61 12.00 -10.05
1.24 0.00 0.00 0.00 0.00 0.25 -6.45 -0.84 -5.35 13.15 -13.24 11.98 -10.04
1.25 0.00 0.00 0.00 0.00 0.25 -5.35 -0.62 -5.46 13.41 -6.74 12.04 -9.43
1.27 0.00 0.00 0.00 0.00 0.25 -6.45 -0.40 -5.57 14.03 -7.06 12.07 -8.75
1.28 0.00 0.00 0.00 0.00 0.25 -5.35 -0.18 -5.57 12.58 0.02 12.00 -7.41
1.30 0.00 0.00 0.00 0.00 0.25 -5.35 0.03 -5.57 14.12 0.02 12.08 -6.07
1.32 0.00 0.00 0.00 0.00 0.25 -6.45 0.25 -5.68 13.31 -6.69 13.41 -6.06
1.33 0.00 0.00 0.00 0.00 0.25 -5.35 0.25 -5.68 0.00 0.00 12.12 -5.41
1.35 0.00 0.00 0.00 0.00 0.25 -6.45 0.25 -5.79 -0.01 -6.56 10.71 -5.36
1.37 0.00 0.00 0.00 0.00 -0.84 -6.45 0.14 -5.90 -6.80 -6.85 8.69 -5.37
1.38 0.00 0.00 0.00 0.00 0.25 -5.35 0.14 -5.90 0.00 0.00 7.38 -4.71
1.40 0.00 0.00 0.00 0.00 -1.93 -6.45 -0.07 -5.90 -13.06 -0.02 4.76 -3.39
